   1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 255 256 257 258 259 260 261 262 263 264 265 266 267 268 269 270 271 272 273 274 275 276 277 278 279 280 281 282 283 284 285 286 287 288 289 290 291 292 293 294 295 296 297 298 299 300 301 302 303 304 305 306 307 308 309 310 311 312 313 314 315 316 317 318 319 320 321 322 323 324 325 326 327 328 329 330 331 332 333 334 335 336 337 338 339 340 341 342 343 344 345 346 347 348 349 350 351 
1003 3469 5002 8054    108 196 307 
1003 1056 2895 3469 3762 4748 5002 5811 7354 7608 8054 8746 9533 11453 12069 12339    108 307 
980 3459 5421 9053 9747 9926    1 320 
978 4528 10629 12535    117 247 
971 1470 2721 3084 4154 4223 4482 4507 4554 4824 4845 5400 5540 6069 6685 7019 7432 7459 8842 9757 9829 10187 10545 10646 10658 10755 11480    119 260 
957 1804 2275 2926 3410 3622 3778 3850 4303 5214 5237 5996 6281 6860 8481 9246 9329 9464 10529 10862 11173 11305 11446 11985 12360    36 137 214 
957 1307 1499 1804 2275 2926 3410 3622 3778 3850 4303 5214 5237 5996 6281 6860 7987 8481 9246 9329 9464 10529 10862 11173 11305 11446 11985 12360    36 214 
951 1748 7948    196 210 260 
951 1748 3349 7948    196 210 
942 1316 1524 1941 1961 2232 2525 3422 5976 9759 10863    210 230 260 
921 3749 5224 9907 9975 10430 12553    228 
913 2051 2513 2863 2954 3270 5770 6187 7776 8523 10985 11055 11999 12205    91 134 272 322 
913 2051 2513 2863 2879 2954 3270 5770 6187 6393 7776 7796 8523 8757 10088 10403 10985 11055 11999 12205    134 272 322 
913 2051 2513 2863 2879 2954 3270 3379 5770 6187 6393 7776 7796 8523 8757 10088 10403 10985 11055 11999 12205    322 
913 1622 2051 2513 2863 2954 3270 3503 3540 4805 5770 6187 6653 7514 7759 7776 8118 8523 8627 9328 10985 11055 11999 12205 12389 12522    91 134 272 
913 1622 2051 2286 2513 2863 2954 3270 3503 3540 4805 5770 6187 6653 7514 7602 7759 7776 8118 8523 8627 9328 9409 10985 11055 11999 12205 12389 12522    91 134 
913 1622 2051 2286 2513 2863 2954 3270 3503 3505 3540 4805 5383 5770 6187 6653 7514 7602 7759 7776 8118 8523 8627 8782 9223 9328 9396 9409 10985 11055 11999 12205 12389 12522    91 
908 1699 2884 3332 4142 5473 7878 9481 10650 12326    4 135 
908 1699 1809 2884 3332 4142 5473 5926 7878 9481 10533 10650 12326    135 
889 2788 3392 7764 9760    79 306 
889 2788 3276 3392 3544 6355 6785 7764 7893 8029 8078 9286 9760 9817 10259 12325 12604    79 
883 1483 3826 4379 7160 8139 9723 9927    9 14 71 288 
883 1483 2423 2508 3826 4379 5048 7160 8139 9723 9927 10622    9 288 
883 1483 2423 2508 3678 3826 3977 4379 5048 5716 7160 8139 8817 9237 9723 9916 9927 10478 10622 10811 11559 11796 12027 12106    9 
883 1483 2399 3826 4379 7160 7258 8139 9723 9927    14 71 288 
883 1483 2399 2637 3826 4379 6063 6895 7160 7198 7258 8139 9723 9927 10816    14 288 
863    59 263 331 
863 3933 5590    59 331 
863 2785 11956 12207    59 263 
852 942 1316 1524 1941 1961 2028 2232 2438 2525 3422 3483 4505 4630 5118 5754 5976 6335 6583 6831 7342 7433 9376 9563 9759 10863    230 
839 1784 3918 7656 7696 10699 11384    55 57 63 340 
